SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
271;2004-05-14T09:00:00+00:00;65.4;36.11;19.1;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-14T16:00:00+00:00;46.07;30.72;10.0;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-15T01:00:00+00:00;37.96;31.71;4.08;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-15T05:00:00+00:00;45.75;17.45;18.45;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-15T21:00:00+00:00;70.61;45.59;16.31;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-16T16:00:00+00:00;27.34;8.05;12.58;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-17T00:00:00+00:00;56.02;41.27;9.62;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-17T02:00:00+00:00;28.62;21.9;4.38;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-17T11:00:00+00:00;29.92;19.55;6.76;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T00:00:00+00:00;33.61;24.69;5.82;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T01:00:00+00:00;14.42;8.34;3.96;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T05:00:00+00:00;84.41;35.52;31.87;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T07:00:00+00:00;86.36;36.36;32.6;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T15:00:00+00:00;55.71;33.38;14.56;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T18:00:00+00:00;29.4;14.9;9.45;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T21:00:00+00:00;32.74;27.35;3.51;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-18T23:00:00+00:00;24.57;20.1;2.92;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-19T12:00:00+00:00;23.98;15.71;5.4;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-19T15:00:00+00:00;42.2;24.11;11.79;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-19T19:00:00+00:00;35.87;26.1;6.37;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-21T00:00:00+00:00;20.0;18.92;0.71;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-21T09:00:00+00:00;31.0;17.92;8.52;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-21T11:00:00+00:00;28.22;18.12;6.59;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-21T16:00:00+00:00;28.14;17.82;6.73;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-21T22:00:00+00:00;43.79;39.26;2.95;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-22T06:00:00+00:00;25.65;20.07;3.64;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-22T10:00:00+00:00;19.94;13.59;4.14;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-22T11:00:00+00:00;17.33;12.06;3.44;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-22T13:00:00+00:00;11.14;8.38;1.8;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-23T04:00:00+00:00;31.38;27.55;2.5;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-23T22:00:00+00:00;75.46;70.41;3.3;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-24T01:00:00+00:00;34.43;30.83;2.35;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-24T02:00:00+00:00;37.27;31.36;3.85;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-24T03:00:00+00:00;28.51;26.35;1.41;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-24T08:00:00+00:00;93.96;53.86;26.15;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-24T13:00:00+00:00;61.62;42.31;12.59;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-24T18:00:00+00:00;42.12;29.77;8.05;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-25T03:00:00+00:00;17.21;16.18;0.68;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-25T12:00:00+00:00;26.72;19.07;4.99;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-25T19:00:00+00:00;30.09;24.54;3.61;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-26T00:00:00+00:00;48.71;40.92;5.08;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-26T07:00:00+00:00;118.59;36.25;53.69;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
271;2004-05-26T13:00:00+00:00;52.03;31.11;13.64;;;;;;;;;;;Trailer Portway P&R;51.4899934596,-2.68877856929
