SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
228;2003-04-06T06:00:00+00:00;154.34;34.76;75.1;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-06T16:00:00+00:00;290.58;83.29;127.2;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-06T19:00:00+00:00;215.5;67.37;90.22;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-07T19:00:00+00:00;284.71;84.72;122.22;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-08T06:00:00+00:00;471.64;86.25;243.53;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-08T08:00:00+00:00;566.79;102.08;293.76;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-08T22:00:00+00:00;243.06;78.22;99.96;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-09T07:00:00+00:00;318.36;82.43;146.01;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-09T08:00:00+00:00;324.34;89.93;144.22;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-09T16:00:00+00:00;310.92;96.91;130.12;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-09T21:00:00+00:00;140.7;60.15;46.81;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-09T23:00:00+00:00;85.81;41.31;25.32;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-10T00:00:00+00:00;65.18;33.37;17.82;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-10T03:00:00+00:00;107.16;48.63;33.67;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-11T04:00:00+00:00;387.29;67.85;202.28;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-11T06:00:00+00:00;777.88;102.51;431.65;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-11T17:00:00+00:00;468.68;112.45;221.49;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-11T18:00:00+00:00;430.17;98.06;207.29;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-11T21:00:00+00:00;219.02;72.58;88.61;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-12T06:00:00+00:00;229.03;67.8;98.75;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-12T07:00:00+00:00;300.92;74.73;140.59;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-13T01:00:00+00:00;187.55;55.41;81.11;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-13T02:00:00+00:00;126.39;54.41;41.76;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-13T06:00:00+00:00;108.17;46.04;36.23;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-13T18:00:00+00:00;233.5;97.87;78.58;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-14T03:00:00+00:00;171.06;85.44;47.25;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-14T04:00:00+00:00;197.0;82.91;66.25;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-15T01:00:00+00:00;268.66;68.09;124.52;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-15T02:00:00+00:00;221.93;64.16;96.81;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-15T03:00:00+00:00;499.54;83.67;263.74;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-15T07:00:00+00:00;683.52;120.96;355.66;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-15T10:00:00+00:00;588.87;129.57;287.09;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-16T00:00:00+00:00;233.79;77.89;95.79;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-16T03:00:00+00:00;324.55;72.39;158.54;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-16T10:00:00+00:00;485.16;138.22;212.78;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-16T21:00:00+00:00;288.9;114.03;104.23;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-17T04:00:00+00:00;164.16;80.85;48.6;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-17T05:00:00+00:00;272.66;93.28;109.3;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-17T07:00:00+00:00;463.69;118.53;213.71;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-18T03:00:00+00:00;78.02;51.49;15.05;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-18T04:00:00+00:00;140.42;70.52;40.95;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-18T17:00:00+00:00;119.34;76.74;22.74;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-18T19:00:00+00:00;120.18;75.3;24.35;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-19T00:00:00+00:00;60.23;35.95;15.12;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-19T07:00:00+00:00;100.55;46.57;33.3;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-19T12:00:00+00:00;111.17;51.26;36.64;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-19T17:00:00+00:00;83.08;40.93;26.15;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-19T18:00:00+00:00;80.19;42.46;23.24;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-20T13:00:00+00:00;108.89;56.08;31.46;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-20T20:00:00+00:00;124.52;71.48;30.06;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-21T14:00:00+00:00;146.7;62.83;50.9;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-22T04:00:00+00:00;131.3;55.56;46.37;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-22T06:00:00+00:00;738.47;132.82;380.44;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-22T07:00:00+00:00;426.21;98.68;204.44;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-22T11:00:00+00:00;223.78;80.99;86.96;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-22T13:00:00+00:00;244.91;91.32;92.85;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-22T19:00:00+00:00;287.07;99.78;113.75;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-23T11:00:00+00:00;332.11;127.18;122.26;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-24T11:00:00+00:00;557.12;110.4;280.16;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-24T19:00:00+00:00;347.41;90.08;159.98;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-25T02:00:00+00:00;102.6;54.6;28.59;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-25T04:00:00+00:00;237.02;74.73;100.25;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-25T05:00:00+00:00;354.86;80.13;172.3;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-25T16:00:00+00:00;520.7;97.73;266.19;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-26T08:00:00+00:00;287.18;76.93;130.99;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-26T13:00:00+00:00;266.33;83.77;112.31;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-26T16:00:00+00:00;147.76;49.25;61.67;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-27T07:00:00+00:00;31.81;19.7;9.09;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-27T16:00:00+00:00;144.15;58.71;52.3;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-27T17:00:00+00:00;130.52;45.8;53.27;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-28T01:00:00+00:00;19.69;18.89;1.87;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-28T03:00:00+00:00;23.86;17.74;5.42;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-28T07:00:00+00:00;301.36;75.45;141.3;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-28T10:00:00+00:00;113.95;42.79;44.75;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-29T05:00:00+00:00;332.06;73.34;162.64;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-29T12:00:00+00:00;286.94;87.35;121.93;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-29T20:00:00+00:00;147.15;60.29;51.4;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-29T22:00:00+00:00;72.9;36.19;21.43;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-30T10:00:00+00:00;303.35;78.94;139.1;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-30T12:00:00+00:00;369.9;83.57;178.94;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-30T15:00:00+00:00;273.85;78.99;119.83;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-30T17:00:00+00:00;318.47;75.16;151.87;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-30T19:00:00+00:00;336.23;72.72;165.29;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-04-30T22:00:00+00:00;160.81;52.02;66.59;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-01T01:00:00+00:00;27.77;17.5;6.35;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-02T10:00:00+00:00;322.18;85.2;146.62;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-02T13:00:00+00:00;332.35;89.5;149.89;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-03T05:00:00+00:00;93.36;38.3;33.17;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-03T07:00:00+00:00;114.21;41.88;44.1;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-04T10:00:00+00:00;168.45;62.82;63.33;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-04T11:00:00+00:00;211.51;76.45;81.05;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-04T18:00:00+00:00;183.91;61.15;74.7;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-05T01:00:00+00:00;31.98;18.69;8.11;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-05T16:00:00+00:00;108.65;44.61;38.31;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-06T03:00:00+00:00;63.91;28.97;21.13;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-06T07:00:00+00:00;275.81;68.37;129.19;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
228;2003-05-06T11:00:00+00:00;199.42;62.39;83.95;;;;;;;;;;;Temple Meads Station;51.4488837041,-2.58447776241
