SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
500;2019-01-01T00:00:00+00:00;30.71;25.69;3.27;13.53;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-24T14:00:00+00:00;30.71475;18.19074;8.16794;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-24T17:00:00+00:00;26.61244;14.87447;7.6553;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-25T00:00:00+00:00;10.72913;8.07394;1.73167;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-25T07:00:00+00:00;11.72841;7.2216;2.93926;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-25T09:00:00+00:00;14.04253;7.43963;4.3063;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-25T12:00:00+00:00;17.56631;9.0772;5.53645;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-25T14:00:00+00:00;18.513;10.65215;5.12672;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-25T17:00:00+00:00;18.77597;11.85893;4.51117;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-26T17:00:00+00:00;76.05056;51.86318;15.7746;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-26T19:00:00+00:00;31.55625;25.84887;3.72226;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-26T20:00:00+00:00;27.03319;23.57778;2.25356;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-27T21:00:00+00:00;54.75009;44.54117;6.65809;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-28T00:00:00+00:00;24.59156;24.1026;0.31889;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-28T01:00:00+00:00;42.94774;37.99181;3.23217;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-28T14:00:00+00:00;235.09072;79.17893;101.68301;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-28T17:00:00+00:00;170.35403;73.34007;63.27085;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-29T11:00:00+00:00;84.75674;47.20002;24.49385;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-30T05:00:00+00:00;119.22716;50.02478;45.13262;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-30T06:00:00+00:00;129.52598;52.73958;50.07878;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-06-30T09:00:00+00:00;104.56642;46.14002;38.1047;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-01T01:00:00+00:00;15.72076;12.16939;2.31615;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-01T05:00:00+00:00;42.67561;24.0831;12.12572;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-01T20:00:00+00:00;16.74679;12.88205;2.52051;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-02T19:00:00+00:00;22.15083;15.93868;4.05146;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-03T00:00:00+00:00;4.90046;3.99464;0.59076;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-03T09:00:00+00:00;51.03478;24.8007;17.10942;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-03T21:00:00+00:00;14.64887;11.51333;2.04495;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-04T00:00:00+00:00;7.77785;6.31413;0.95461;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-04T05:00:00+00:00;42.0424;19.82534;14.48959;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-04T06:00:00+00:00;97.74859;32.45656;42.58235;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-04T13:00:00+00:00;36.7871;18.4907;11.93261;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-04T20:00:00+00:00;24.69991;19.89057;3.13657;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-04T22:00:00+00:00;37.94327;30.36333;4.94351;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-05T00:00:00+00:00;17.11289;16.48539;0.40925;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-05T02:00:00+00:00;63.27911;34.78009;18.58658;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-05T05:00:00+00:00;135.92122;38.91997;63.26257;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-05T07:00:00+00:00;66.85599;34.48738;21.11026;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-05T14:00:00+00:00;44.29012;26.35404;11.69761;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-05T15:00:00+00:00;100.36288;54.97362;29.60211;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-06T00:00:00+00:00;115.6176;69.79569;29.88427;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-06T23:00:00+00:00;14.84707;12.28397;1.67161;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-07T10:00:00+00:00;44.73998;24.28112;13.34292;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-07T13:00:00+00:00;35.88684;21.18367;9.58916;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-07T14:00:00+00:00;32.7777;18.96405;9.00903;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-07T18:00:00+00:00;29.66856;17.73859;7.78053;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-07T21:00:00+00:00;19.02371;14.83776;2.73001;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-08T11:00:00+00:00;64.34934;33.99168;19.79875;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-08T18:00:00+00:00;36.60528;29.12055;4.88142;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-09T02:00:00+00:00;26.55511;24.61789;1.26342;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-09T06:00:00+00:00;42.7099;26.06034;10.85856;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-10T19:00:00+00:00;19.60421;13.26702;4.13301;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-11T06:00:00+00:00;99.53828;42.32863;37.31116;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-11T09:00:00+00:00;57.54391;30.87751;17.39138;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-12T18:00:00+00:00;17.99882;13.5443;2.90516;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-13T03:00:00+00:00;40.3222;34.34604;3.89755;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-13T09:00:00+00:00;128.64954;55.83474;47.48858;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-13T14:00:00+00:00;41.4349;26.23239;9.91482;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-14T03:00:00+00:00;7.74295;6.48442;0.82079;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-14T06:00:00+00:00;75.14903;34.71872;26.36796;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-14T23:00:00+00:00;17.55422;14.77496;1.81258;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-16T03:00:00+00:00;5.63179;3.84776;1.16351;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-16T09:00:00+00:00;17.3204;9.65957;4.99627;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-16T20:00:00+00:00;25.71496;20.25792;3.55898;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-17T05:00:00+00:00;256.58463;80.59303;114.77873;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-17T21:00:00+00:00;155.28023;73.29429;53.46984;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-17T22:00:00+00:00;85.03188;73.22213;7.70212;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-18T06:00:00+00:00;296.31054;94.53714;131.59319;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-18T21:00:00+00:00;83.51199;56.31485;17.73752;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-19T02:00:00+00:00;27.80921;21.50675;4.11036;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-19T19:00:00+00:00;73.35877;50.40732;14.96854;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-21T03:00:00+00:00;5.12357;4.28272;0.54839;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-21T09:00:00+00:00;36.07847;22.72997;8.70566;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-21T18:00:00+00:00;107.22137;63.49716;28.51619;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-21T22:00:00+00:00;76.5867;43.42566;21.62706;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-22T00:00:00+00:00;38.53262;24.93465;8.86837;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-22T02:00:00+00:00;38.94217;27.21917;7.64554;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-22T13:00:00+00:00;44.4977;20.57859;15.59964;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-22T15:00:00+00:00;40.59814;21.09487;12.71971;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-22T19:00:00+00:00;20.19223;17.77404;1.57711;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-22T22:00:00+00:00;59.93568;40.90553;12.41114;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-23T09:00:00+00:00;109.71367;43.24519;43.34961;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-23T12:00:00+00:00;30.63642;19.85633;7.03059;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-24T02:00:00+00:00;10.54241;9.80598;0.48029;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-24T07:00:00+00:00;95.30984;48.44132;30.56685;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-24T10:00:00+00:00;96.96879;49.41645;31.01283;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-24T12:00:00+00:00;71.81684;38.9931;21.40709;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-24T21:00:00+00:00;81.44951;49.83561;20.61804;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-24T23:00:00+00:00;43.66807;33.62106;6.55249;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-25T04:00:00+00:00;189.71971;55.80566;87.33647;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-25T06:00:00+00:00;183.34573;53.43068;84.72838;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-25T07:00:00+00:00;155.60016;59.25571;62.83421;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-26T01:00:00+00:00;27.80622;26.05173;1.14425;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-26T08:00:00+00:00;96.17807;35.7533;39.40801;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-26T13:00:00+00:00;49.96542;20.17411;19.42939;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-26T15:00:00+00:00;34.79352;20.52948;9.30276;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-26T22:00:00+00:00;10.29331;7.50366;1.81936;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-27T08:00:00+00:00;81.83006;36.81332;29.35915;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-27T09:00:00+00:00;55.48346;24.47193;20.22519;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-27T19:00:00+00:00;33.26862;21.68536;7.5544;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-27T22:00:00+00:00;74.10315;33.66707;26.37173;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-28T06:00:00+00:00;79.91623;35.4122;29.02477;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-28T12:00:00+00:00;115.7926;49.74757;43.07345;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-28T18:00:00+00:00;66.81169;27.2584;25.79598;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-28T19:00:00+00:00;58.80932;27.63017;20.33452;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-28T20:00:00+00:00;45.8659;22.85021;15.01045;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-30T12:00:00+00:00;33.51947;21.08223;8.11136;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-07-31T18:00:00+00:00;63.38311;32.75483;19.97525;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-01T01:00:00+00:00;11.80399;9.95834;1.2037;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-01T07:00:00+00:00;131.51478;52.8374;51.31206;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-01T14:00:00+00:00;42.8501;25.6592;11.21162;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-01T19:00:00+00:00;54.0612;33.38993;13.48145;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-02T12:00:00+00:00;96.99777;42.82437;35.33097;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-02T23:00:00+00:00;17.42507;14.20737;2.09853;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-03T06:00:00+00:00;55.45356;31.55079;15.58898;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-03T08:00:00+00:00;54.26566;29.94076;15.86429;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-03T09:00:00+00:00;44.49244;24.91644;12.76714;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-03T13:00:00+00:00;28.40173;18.16522;6.67608;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-04T02:00:00+00:00;4.26946;3.63608;0.41308;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-05T01:00:00+00:00;26.50501;22.22836;2.78916;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-05T14:00:00+00:00;44.46351;26.72332;11.56985;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-05T16:00:00+00:00;37.2152;24.80763;8.09201;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-05T21:00:00+00:00;25.58545;20.56962;3.27124;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-06T06:00:00+00:00;77.63669;35.64915;27.38356;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-06T11:00:00+00:00;20.35662;12.90978;4.85671;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-07T03:00:00+00:00;6.82769;5.66541;0.75802;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-07T10:00:00+00:00;39.01539;25.59635;8.75167;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-08T01:00:00+00:00;20.75436;15.04686;3.72233;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-08T09:00:00+00:00;203.06005;61.48246;92.3345;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-09T08:00:00+00:00;149.17302;62.47686;56.54177;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-09T13:00:00+00:00;161.71268;62.2764;64.85065;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-10T08:00:00+00:00;178.84876;57.09788;79.40385;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-10T14:00:00+00:00;77.25355;44.83593;21.14222;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-11T01:00:00+00:00;20.03248;17.76503;1.47879;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-11T10:00:00+00:00;37.79099;22.92076;9.69812;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-11T20:00:00+00:00;97.45529;37.65794;38.99881;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-12T09:00:00+00:00;34.44299;20.3287;9.2051;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-12T21:00:00+00:00;75.96924;47.79332;18.37585;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-13T12:00:00+00:00;39.25759;23.26744;10.4285;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-13T23:00:00+00:00;72.52125;44.90668;18.00975;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-14T05:00:00+00:00;108.01828;56.48331;33.61023;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-14T07:00:00+00:00;73.61205;41.35674;21.03637;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-14T10:00:00+00:00;66.4396;33.86908;21.24194;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-15T22:00:00+00:00;71.89916;38.89741;21.52318;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-16T01:00:00+00:00;135.11007;42.3255;60.51252;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-16T03:00:00+00:00;171.73824;44.404;83.04523;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2017-08-16T05:00:00+00:00;79.81821;36.90185;27.98932;;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-13T00:00:00+00:00;24.54;21.83;1.77;18.36;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-13T03:00:00+00:00;24.58;23.19;0.91;21.26;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-13T08:00:00+00:00;80.52;48.27;21.03;14.49;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-13T19:00:00+00:00;212.51;114.43;63.96;33.82;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-15T05:00:00+00:00;55.89;42.27;8.88;2.9;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-15T15:00:00+00:00;27.34;21.71;3.67;28.99;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-15T20:00:00+00:00;51.92;37.88;9.16;26.09;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-16T09:00:00+00:00;117.45;56.82;39.54;19.32;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-16T16:00:00+00:00;169.87;68.62;66.03;22.22;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-16T19:00:00+00:00;101.85;69.02;21.42;37.68;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-17T01:00:00+00:00;80.84;44.82;23.49;36.72;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-17T05:00:00+00:00;30.09;17.69;8.09;14.49;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-17T08:00:00+00:00;79.26;34.46;29.22;28.02;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-17T09:00:00+00:00;77.05;35.0;27.43;31.89;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-17T13:00:00+00:00;145.84;64.09;53.32;32.85;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-17T20:00:00+00:00;112.72;50.78;40.39;30.92;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-18T11:00:00+00:00;81.91;36.58;29.56;34.78;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-18T14:00:00+00:00;85.21;40.05;29.46;32.85;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
500;2018-03-18T21:00:00+00:00;57.05;31.61;16.59;32.85;;;;;;;;;;Temple Way;51.4579497129,-2.58398909033
