SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
459;2010-10-29T00:00:00+00:00;13.32;10.64;1.75;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-29T07:00:00+00:00;52.71;27.71;16.3;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-29T11:00:00+00:00;92.44;40.89;33.61;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-29T14:00:00+00:00;53.24;33.54;12.84;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-29T19:00:00+00:00;45.86;28.22;11.5;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-29T23:00:00+00:00;29.8;19.2;6.91;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-30T03:00:00+00:00;22.65;15.98;4.35;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-30T08:00:00+00:00;101.95;44.35;37.56;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-30T20:00:00+00:00;82.23;33.3;31.91;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-30T21:00:00+00:00;73.2;28.63;29.06;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-31T03:00:00+00:00;32.04;20.63;7.44;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-10-31T05:00:00+00:00;57.2;21.35;23.37;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-01T00:00:00+00:00;77.92;26.12;33.78;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-01T07:00:00+00:00;87.38;19.69;44.13;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-02T17:00:00+00:00;27.33;16.66;6.96;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-03T00:00:00+00:00;8.84;4.32;2.33;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-03T06:00:00+00:00;12.6;7.2;3.52;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-04T06:00:00+00:00;26.14;11.49;7.25;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-04T13:00:00+00:00;47.41;21.41;16.95;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-04T21:00:00+00:00;23.93;13.38;6.88;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-05T02:00:00+00:00;4.62;2.17;1.6;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-05T05:00:00+00:00;4.44;2.43;1.31;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-05T21:00:00+00:00;109.74;34.21;49.25;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-06T01:00:00+00:00;56.45;26.75;19.36;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-06T06:00:00+00:00;17.24;14.03;2.09;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-06T19:00:00+00:00;83.09;50.13;21.49;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
